"condition","description","n","correct_count","invalid_count","invalid_rate","strict_accuracy","valid_only_accuracy","prompt_sha256","test_split_sha256","top_k","retrieval_used"
"norag_paper_exact","LLM-only；論文 Table VIII 原始分類 prompt；無 RAG、無 top_k","2496","1777","89","0.03565705128205128","0.7119391025641025","0.7382633984212713","16eb1cc04ad6b9aded193f164ecdc344687ded72260a62c86e34325e7f09330f","7b4478854862c0511a778f7e4d5084da17c4e4c852ec6fb11843d4a852b44466",,"False"
"rag_noaug_paper_topk1","noaug RAG；論文 Table VIII 原始分類 prompt；top_k=1","2496","1864","170","0.06810897435897435","0.7467948717948718","0.8013757523645744","759af970814b6d8015240176f57aa8228f81e213359f5826e03ab8115b07088e","7b4478854862c0511a778f7e4d5084da17c4e4c852ec6fb11843d4a852b44466","1",
"rag_aug_paper_topk1","aug RAG；論文 Table VIII 原始分類 prompt；top_k=1","2496","1874","141","0.056490384615384616","0.750801282051282","0.7957537154989385","759af970814b6d8015240176f57aa8228f81e213359f5826e03ab8115b07088e","7b4478854862c0511a778f7e4d5084da17c4e4c852ec6fb11843d4a852b44466","1",
